id_lokacije;naziv_lokacije;id_ustanove;mb_ustanove;naziv_ustanove;mbog;opstina;mbn;naselje;adresa;mbn;g_duzina;g_sirina;u_konturi;ga_long;ga_lat;u_konturi_ga;gs_long;gs_lat;u_konturi_gs;long;lat;u_konturi
253;ОШ Краљ Александар I;85;7029675;Краљ Александар I;79014;Београд - Нови Београд;791067;Београд (Нови Београд);Алексиначких рудара 22;791067;20.416109;44.828316;1;20.415344;44.828005;1;20.416173;44.828289;1;20.416228;44.82837;1
254;ОШ Филип Вишњић;117;7004427;Филип Вишњић;79014;Београд - Палилула;791075;Београд (Палилула);Салвадора Аљендеа 17;791075;20.522835;44.808094;1;20.522867;44.808161;1;20.522806;44.80812;1;20.5228455;44.808187;1
255;"ОШ ""5. Октобар""";1302;9004556;5. октобар;90336;Гора;902900;Крушево;;902900;20.636782;41.980228;NA;;;;21.250222;41.37056;;;;NA
256;"ОШ ""Свети Сава""";885;7293003;Свети Сава;79022;Ниш - Медијана;792047;Ниш (Медијана);Гарсије Лорке бб;792047;21.919592;43.322051;1;21.918728;43.32187;1;21.919742;43.321915;1;21.919544;43.321817;1
257;Владислав Савић Јан;963;7102933;Владислав Савић Јан;70670;Крушевац;721352;Паруновац;Димитрија Туцовића 3;721352;21.364369;43.575257;1;21.36689;43.57162;1;21.410122;43.550644;0;21.3644325;43.5750735;1
258;Ђуро Стругар;89;7029683;Ђуро Стругар;79014;Београд - Нови Београд;791067;Београд (Нови Београд);Милутина Миланковића 148;791067;20.400252;44.819245;1;20.421153;44.80615;1;20.400194;44.819268;1;20.4002905;44.8192915;1
259;Вук Караџић;142;7002912;Вук Караџић;79014;Београд - Стари Град;791105;Београд (Стари Град);Таковска 41;791105;20.472167;44.814341;1;20.472425;44.813999;1;20.472065;44.814351;1;20.4721505;44.814387;1
260;"ОШ ""Јожеф Атила"" - József Attila Általános Iskola";214;8063001;Јожеф Атила;80047;Апатин;800198;Купусина;Ади Ендре 4;800198;19.016709;45.740653;1;19.007098;45.737694;1;19.016712;45.740701;1;19.01653742;45.74074479;1
261;Вељко Банашевић;1270;9023577;Вељко Банашевић;90298;Косовска Митровица;914975;Косовска Митровица;Џона Кенедија 17;914975;20.855244;42.877819;NA;20.865998;42.898883;;20.866;42.891391;;;;NA
262;"ОШ ""ГОРЊА ВАРОШ """;53;7021097;Горња Варош;79014;Београд - Земун;791059;Београд (Земун);Добановачка 72;791059;20.395675;44.850323;1;20.39564;44.85038;1;20.39564;44.85038;1;20.395565;44.850475;1
263;Миливоје Боровић;849;7216971;Миливоје Боровић;71234;Чајетина;745278;Мачкат;;745278;19.780568;43.793929;1;;;0;19.780656;43.793902;1;19.7805675;43.7938385;1
264;Раде Кончар;48;7021062;Раде Кончар;79014;Београд - Земун;791059;Београд (Земун);Златиборска 44;791059;20.395593;44.836877;1;20.396212;44.837589;1;20.395527;44.836904;1;20.3954795;44.836785;1
265;Бранко Радичевић;638;7164688;Бранко Радичевић;71099;Смедерево;740381;Лугавчина;Бориса Кидрича бб;740381;21.075752;44.52378;1;21.073133;44.525012;1;21.075838;44.523774;1;21.07565189;44.52368848;1
266;Вук Караџић;15;7017286;Вук Караџић;79014;Београд - Вождовац;703656;Рипањ;Ерчанска 3;703656;20.517657;44.639279;1;20.519846;44.63928;1;20.552914;44.633469;1;20.52051518;44.64007635;1
267;"ОШ""Свети Сава""";1202;7107455;Свети Сава;70998;Прокупље;736210;Прокупље;Милоша Црњанског бб;736210;21.591406;43.240177;1;21.591643;43.240997;1;21.599867;43.24857;1;21.591347;43.240189;1
268;"ОШ ""Трећи крагујевачки батаљон""";717;7149131;Трећи крагујевачки батаљон;70645;Крагујевац;718980;Крагујевац;Јесењинов 17;718980;20.897996;44.00533;1;20.898342;44.005147;1;20.897483;44.00498;1;20.897095;44.004709;1
269;"ОШ "" Иво Андрић """;1044;7174411;Иво Андрић;79022;Ниш - Црвени Крст;792039;Ниш (Црвени Крст);Бранко Бјеговић бб;792039;21.872484;43.344596;1;21.890325;43.345826;0;21.872439;43.34456;1;21.872573;43.344541;1
270;"ОШ ""21 новембар""";1287;9021973;21. новембар;90026;Вучитрн;900648;Гојбуља;;900648;20.988865;42.849922;NA;;;;20.991145;42.849699;;;;NA
271;Станислав Бинички;967;7102763;Станислав Бинички;70670;Крушевац;720992;Јасика;Станислава Биничког бб;720992;21.297483;43.611096;1;21.298145;43.615461;1;21.298145;43.615461;1;21.2974745;43.6110985;1
